channel,participant_index,trial,align_count,improvement,empirical_abs_delta
AI,9,16,29,0.02157903472816225,0.0
AI,10,16,29,0.010998111951404876,0.25
AI,12,16,29,-0.04106843637493429,0.0
AI,14,16,29,-0.008279389328249454,1.0
AI,15,16,29,-0.043220852709101476,0.0
AI,16,16,29,-0.030930150347637686,0.0
AI,17,16,29,-0.021704482423703375,0.5
AI,18,16,29,0.030691933040750574,0.25
AI,19,16,29,0.012667469849161783,0.0
AI,28,16,29,-0.020915089562333566,0.0
AI,29,16,29,-0.022188016364016572,0.0
AI,33,16,29,-0.028933334536554334,0.25
AI,34,16,29,0.017870194281006002,0.0
AI,35,16,29,0.031453291214363244,0.5
AI,36,16,29,0.04313105373556214,0.25
AI,37,16,29,0.039017120745934886,0.25
AI,39,16,29,-0.040163627243608335,0.0
AI,42,16,29,-0.0176791836246869,0.0
AI,43,16,29,-0.023184078641188544,0.0
AI,45,16,29,0.0346179764042317,0.0
AI,46,16,29,0.03458338855418297,0.0
AI,48,16,29,0.01598898135229554,0.25
AI,49,16,29,-0.0788181009597988,0.0
AI,52,16,29,0.04232353184224752,0.25
AI,88,16,29,0.009944481280197648,0.25
AI,93,16,29,0.016504002165768583,0.0
AI,95,16,29,0.01076626944947312,0.0
AI,98,16,29,-0.011081773994810584,0.0
AI,14,17,5,0.010645203021180438,0.25
AI,45,17,5,-0.00517499573966107,0.0
AI,49,17,5,-0.08197339946181703,0.0
AI,50,17,5,0.010251618724825218,0.25
AI,80,17,5,-0.00845690905777502,0.25
AI,2,18,22,0.02693422215389074,0.0
AI,4,18,22,0.017968529783715326,0.0
AI,7,18,22,-0.028430010008777873,0.25
AI,8,18,22,-0.022030705157871977,0.0
AI,9,18,22,0.03632100975210972,0.0
AI,10,18,22,-0.023917072899167224,0.0
AI,11,18,22,0.042353429282606214,0.0
AI,12,18,22,-0.04792086137742202,0.0
AI,16,18,22,-0.033631737112599036,0.0
AI,19,18,22,0.026125462590667614,0.0
AI,21,18,22,-0.01671203986071912,0.0
AI,22,18,22,0.03758421462850403,0.5
AI,24,18,22,-0.0041219745039619005,0.25
AI,27,18,22,0.0004546257771804729,0.0
AI,32,18,22,0.03671798236971413,0.5
AI,34,18,22,0.02859554823307653,0.0
AI,39,18,22,-0.046260358868567164,0.0
AI,43,18,22,0.025790520049456145,0.0
AI,44,18,22,0.021871826668808048,0.0
AI,45,18,22,-0.04435913038305628,0.0
AI,47,18,22,-0.025232547575657405,0.0
AI,49,18,22,-0.08220922042517731,0.0
AI,2,19,5,0.037340900014407596,0.0
AI,13,19,5,-0.14103123261821693,0.0
AI,78,19,5,0.06407012451261812,0.0
AI,90,19,5,-0.023821642342971905,0.25
AI,94,19,5,0.004657472255050699,0.0
AI,1,20,21,0.021836151567782403,0.25
AI,3,20,21,-0.01562880167501568,0.0
AI,8,20,21,0.010977043060243497,0.25
AI,9,20,21,0.04083461137735955,0.0
AI,12,20,21,-0.05047909485155844,0.0
AI,13,20,21,-0.035865916851905544,0.0
AI,14,20,21,0.07002908615616732,0.75
AI,15,20,21,-0.030821719399576897,0.0
AI,18,20,21,-0.0018771676053622732,0.0
AI,19,20,21,0.028798715387471696,0.25
AI,21,20,21,-0.032296030291962485,0.0
AI,24,20,21,0.004043598525855785,0.25
AI,29,20,21,-0.02227660556706912,0.0
